numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
2017-4961,Rejet,Oui,2017-7-21,unique,13932,13356,2017,2017-6-11,2017-6-18,an,pyrenees-orientales,2,2,40502,44110,96636,452,FN,20477,FALSE,M,MDM,20025,FALSE,F,46219,47520,96638,781,7311,FN,14237,FALSE,M,MDM,13456,FALSE,F,LR,6145,FALSE,M
2016-4953,Rejet,Oui,2016-4-14,unique,12745,12190,2012,2012-6-10,2012-6-17,an,nord,10,2,35685,37312,80361,3485,UMP,19585,FALSE,M,SOC,16100,FALSE,F,37532,38141,80361,2195,2575,SOC,11550,FALSE,F,UMP,9355,FALSE,M,FRN,6780,FALSE,M
2016-4955,Rejet,Oui,2016-6-23,unique,12793,12241,2012,2012-6-10,2012-6-17,an,bas-rhin,1,2,30718,31439,63979,7134,SOC,18926,FALSE,M,UMP,11792,FALSE,F,33017,33297,63978,4574,6153,SOC,13830,FALSE,M,UMP,9256,FALSE,F,FRN,3103,FALSE,F
73-580,Rejet,,1973-5-17,unique,3856,3856,1973,1973-3-4,1973-3-11,an,val-d-oise,3,1,49789,50641,61509,17928,COM,25742,TRUE,,UDRURP,7814,FALSE,,49789,50641,61509,17928,2948,COM,25742,TRUE,,UDRURP,7814,FALSE,,SOC,4866,FALSE,
2015-4927,Rejet,Oui,2015-4-22,unique,12572,12005,2012,2012-6-10,2012-6-17,an,doubs,4,2,39152,39856,67392,8951,SOC,19311,FALSE,M,UMP,10360,FALSE,M,40237,40771,67395,6816,264,SOC,16421,FALSE,M,FRN,9605,FALSE,F,UMP,9341,FALSE,M
73-600,Rejet,,1973-6-7,unique,3982,3518,1973,1973-3-4,1973-3-11,an,herault,1,2,70217,72097,88043,893,SOC,35555,FALSE,,UDRURP,34662,FALSE,,67409,68661,88072,8680,1989,UDRURP,24217,FALSE,,SOC,15537,FALSE,,COM,13548,FALSE,
97-2140,Rejet,,1997-10-28,unique,9276,8700,1997,1997-5-25,1997-6-1,an,charente-maritime,5,2,54117,57819,81511,5811,RPR,29964,FALSE,M,SOC,24153,FALSE,F,50540,53721,81512,1425,5550,RPR,13663,FALSE,M,SOC,12238,FALSE,F,FRN,6688,FALSE,M
93-1423,Inéligibilité,,1993-9-22,unique,7755,7755,1993,1993-3-11,1993-3-28,an,haute-loire,1,1,55114,58501,79778,20817,UDF,28057,TRUE,,FRN,7240,FALSE,,55114,58501,79778,20817,1632,UDF,28057,TRUE,,FRN,7240,FALSE,,SOC,5608,FALSE,
88-1066,Rejet,,1988-7-13,unique,7507,7046,1988,1988-6-5,1988-6-12,an,seine-saint-denis,3,2,17696,24115,52641,,COM,17696,TRUE,F,,,,,30321,30707,52641,4529,1595,COM,11552,TRUE,F,RDG,7023,FALSE,M,UDF,5428,FALSE,M
81-921,Rejet,,1981-9-9,unique,5883,5528,1981,1981-6-14,1981-6-21,an,paris,13,2,29701,30404,44688,7119,SOC,18410,FALSE,,RPR,11291,FALSE,,29941,30189,44688,3590,728,SOC,10897,FALSE,,COM,7307,TRUE,,RPR,6579,FALSE,
81-922,Rejet,,1981-9-9,unique,5879,5524,1981,1981-6-14,1981-6-21,an,paris,9,2,23863,24168,32875,635,SOC,12249,FALSE,,RPR,11614,TRUE,,22245,22431,32875,433,6940,RPR,9501,TRUE,,SOC,9068,FALSE,,COM,2128,FALSE,
73-740,Rejet,,1973-6-21,unique,4146,3702,1973,1973-3-4,1973-3-11,an,rhone,7,2,55627,57022,70534,10310,DIVREF,32235,FALSE,,SOC,21925,FALSE,,55413,56444,70535,3024,554,DIVREF,12948,FALSE,,SOC,9924,FALSE,,CDPURP,9370,FALSE,
84-983,Rejet,,1984-11-7,unique,5460,5460,1981,1981-6-14,1981-6-21,an,puy-de-dome,2,1,54931,55472,75911,9504,UDF,28512,TRUE,,SOC,19008,FALSE,,54931,55472,75911,9504,14825,UDF,28512,TRUE,,SOC,19008,FALSE,,COM,4183,FALSE,
88-1108,Non lieu à statuer,,1988-7-20,unique,7479,7014,1988,1988-6-5,1988-6-12,an,vosges,3,2,45190,46739,63978,3388,DVD,24289,FALSE,M,SOC,20901,FALSE,M,43094,44387,63985,3642,1498,SOC,15535,FALSE,M,DVD,11893,FALSE,M,RPR,10395,TRUE,M
78-840,Rejet,,1978-4-27,unique,5070,4645,1978,1978-3-12,1978-3-19,an,paris,21,2,29102,32629,47179,,UDF,29102,FALSE,,,,,,37068,37310,47176,22795,669,UDF,25988,FALSE,,PSMRG,3193,FALSE,,EXD,2524,FALSE,
97-2257,Rejet,,1997-7-10,unique,9465,8892,1997,1997-5-25,1997-6-1,an,moselle,5,2,45219,49457,71595,245,SOC,22732,FALSE,M,RPR,22487,FALSE,M,44413,47576,71603,2364,848,RPR,12026,FALSE,M,SOC,9662,FALSE,M,FRN,8814,FALSE,M
88-1050,Rejet,,1988-7-13,unique,7506,7045,1988,1988-6-5,1988-6-12,an,seine-saint-denis,2,2,18132,23732,51403,,COM,18132,FALSE,M,,,,,29783,30312,51461,6209,1733,COM,13050,FALSE,M,SOC,6841,TRUE,M,FRN,5108,FALSE,M
